term,mapping,dpv,note
airo:AICapability,skos:exactMatch,ai:Capability,
airo:AIComponent,skos:exactMatch,tech:Component,
airo:AIDeployer,skos:exactMatch,"tech:Deployer,eu-aiact:AIDeployer",
airo:AIDeveloper,skos:exactMatch,tech:Developer,
airo:AILifecyclePhase,skos:exactMatch,dpv:NotAvailable,Add tech:LifecyclePhase with enum
airo:AIOperator,skos:exactMatch,"tech:Operator,eu-aiact:AIOperator",
airo:AIProvider,skos:exactMatch,"tech:Provider,eu-aiact:AIProvider",
airo:AIQuality,nomatch,,Asked about expanding DQV
airo:AISubject,skos:broader,tech:Subject,
airo:AISystem,skos:exactMatch,"ai:AISystem,eu-aiact:AISystem",
airo:AITechnique,skos:exactMatch,ai:Technique,
airo:AIUser,skos:exactMatch,tech:User,
airo:AreaOfImpact,skos:broader,dpv:Impact,
airo:Change,skos:exactMatch,dpv:NotApplicable,Not clear on what this is modelling
airo:CodeOfConduct,skos:exactMatch,dpv:CodeOfConduct,
airo:compliesWithRegulation,skos:broader,dpv:hasApplicableLaw,Complies with regulation indicates evaluated status of being compliant. Instead presuming this property is about which regulation is associated for compliance
airo:conformsToStandard,skos:broader,dpv:hasOrganisationalMeasure dpv:StandardsConformance,"Conforms assumes that an evaluation has been performed and the implementation found conformant. This property can relate to several things: which standard is applicable or should be considered for conformance, and the status of conformance with that standard."
airo:Consequence,skos:exactMatch,dpv:Consequence,
airo:Control,skos:exactMatch,skos:RiskControl,
airo:Dataset,skos:broader,dpv:Data,add Dataset to TECH
airo:detectsEvent,skos:exactMatch,skos:DetectionControl,"DPV doesn't have a property to associate control with event. This should be added but without the event range as detection can also relate to threats, vulnerabilities, etc. So property name can be 'detects' and 'isDetectedBy'"
airo:Documentation,skos:exactMatch,tech:Documentation,
airo:Domain,skos:broader,dpv:Sector,Keep sector
airo:eliminatesEvent,skos:broader,skos:ReduceLikelihood,Eliminate refers to completely removing or nullifying the likelihood of an event. DPV doesn't have a property - this should be added as  'reducesLikelihoodOf' and 'eliminatesLikelihoodOf'
airo:EnvironmentOfUse,skos:broader,dpv:LocationLocality,
airo:Event,skos:exactMatch,dpv:NotApplicable,"In DPV, we have specific events for risk, incident, and so on - as the broad parent event can be confused for other non-risk related events e.g. data collection and so on"
airo:exploitsVulnerability,skos:exactMatch,risk:exploitsVulnerability,
